data_seed,training_seed,n_pixel_1d,n_layers,layer_size,sparsity,Y_min,Runtime
0,0,28,4,32,0,-17.411510467529297,
0,0,28,4,32,0.5,-18.593765258789062,
0,0,28,4,32,0.8,-18.593765258789062,
0,0,28,4,32,0.9,-18.593765258789062,
0,0,28,4,64,0,-18.593765258789062,
0,0,28,4,64,0.5,-18.593765258789062,
0,0,28,4,64,0.8,-18.593765258789062,
0,0,28,4,64,0.9,-18.593765258789062,
0,0,28,4,128,0,-18.593765258789062,500.1993668079376
0,0,28,4,128,0.5,-18.593765258789062,0.04206991195678711
0,0,28,4,128,0.8,-18.593765258789062,0.011211872100830078
0,0,28,4,128,0.9,-18.593765258789062,0.0062808990478515625
0,0,28,5,32,0,-18.593765258789062,
0,0,28,5,32,0.5,-18.593765258789062,
0,0,28,5,32,0.8,-18.593765258789062,
0,0,28,5,32,0.9,-18.593765258789062,
0,0,28,5,64,0,-18.593765258789062,
0,0,28,5,64,0.5,-18.593765258789062,0.012324094772338867
0,0,28,5,64,0.8,-18.593765258789062,
0,0,28,5,64,0.9,-18.593765258789062,
0,0,28,5,128,0,-18.593765258789062,500.12365198135376
0,0,28,5,128,0.5,-18.593765258789062,0.04702305793762207
0,0,28,5,128,0.8,-18.593765258789062,0.01248311996459961
0,0,28,5,128,0.9,-18.593765258789062,0.007051944732666016
0,0,22,4,32,0,-18.593765258789062,
0,0,22,4,32,0.5,-18.593765258789062,0.003629922866821289
0,0,22,4,32,0.8,-18.593765258789062,0.0019729137420654297
0,0,22,4,32,0.9,-18.593765258789062,0.0014948844909667969
0,0,22,4,64,0,-18.593765258789062,
0,0,22,4,64,0.5,-18.593765258789062,
0,0,22,4,64,0.8,-18.593765258789062,
0,0,22,4,64,0.9,-18.593765258789062,
0,0,22,4,128,0,-18.593765258789062,500.02467703819275
0,0,22,4,128,0.5,-18.593765258789062,0.027113914489746094
0,0,22,4,128,0.8,-18.593765258789062,0.009028911590576172
0,0,22,4,128,0.9,-18.593765258789062,0.004864931106567383
0,0,22,5,32,0,-18.593765258789062,
0,0,22,5,32,0.5,-18.593765258789062,
0,0,22,5,32,0.8,-18.593765258789062,0.002140045166015625
0,0,22,5,32,0.9,-18.593765258789062,
0,0,22,5,64,0,-18.593765258789062,
0,0,22,5,64,0.5,-18.593765258789062,0.009001016616821289
0,0,22,5,64,0.8,-18.593765258789062,
0,0,22,5,64,0.9,-18.593765258789062,0.0026950836181640625
0,0,22,5,128,0,-18.593765258789062,
0,0,22,5,128,0.5,-18.593765258789062,0.03433704376220703
0,0,22,5,128,0.8,-18.593765258789062,0.010188817977905273
0,0,22,5,128,0.9,-18.593765258789062,0.005590915679931641
0,0,18,4,32,0,-33.33236312866211,
0,0,18,4,32,0.5,-33.33236312866211,
0,0,18,4,32,0.8,-33.33236312866211,
0,0,18,4,32,0.9,-33.33236312866211,
0,0,18,4,64,0,-33.33236312866211,
0,0,18,4,64,0.5,-33.33236312866211,
0,0,18,4,64,0.8,-33.33236312866211,
0,0,18,4,64,0.9,-33.33236312866211,
0,0,18,4,128,0,-33.33236312866211,500.0446400642395
0,0,18,4,128,0.5,-33.33236312866211,
0,0,18,4,128,0.8,-33.33236312866211,
0,0,18,4,128,0.9,-33.33236312866211,0.004302978515625
0,0,18,5,32,0,-33.33236312866211,
0,0,18,5,32,0.5,-33.33236312866211,
0,0,18,5,32,0.8,-33.33236312866211,0.001714944839477539
0,0,18,5,32,0.9,-33.33236312866211,0.0013129711151123047
0,0,18,5,64,0,-33.33236312866211,
0,0,18,5,64,0.5,-33.33236312866211,
0,0,18,5,64,0.8,-33.33236312866211,
0,0,18,5,64,0.9,-33.33236312866211,
0,0,18,5,128,0,-33.33236312866211,500.0233039855957
0,0,18,5,128,0.5,-33.33236312866211,0.028416872024536133
0,0,18,5,128,0.8,-33.33236312866211,0.008593082427978516
0,0,18,5,128,0.9,-33.33236312866211,0.004903078079223633
0,0,28,4,32,0,-33.33236312866211,
0,0,28,4,32,0.5,-33.33236312866211,
0,0,28,4,32,0.8,-33.33236312866211,
0,0,28,4,32,0.9,-33.33236312866211,
