data_seed,training_seed,n_vineyards,n_wines_to_produce,n_estimators_layers,layer_size,epsilon,sparsity,Result,Runtime
0,0,30,4,2,16,0.0001,0,3.9336537149117463,20.662785053253174
0,0,30,4,2,16,0.0001,0.5,3.168827192988923,1.960158109664917
0,0,30,4,2,16,0.0001,0.8,,0.08073091506958008
0,0,30,4,2,16,0.0001,0.9,,0.002164125442504883
0,0,30,4,2,32,0.0001,0,4.1416508671663586,18.281311988830566
0,0,30,4,2,32,0.0001,0.5,4.670297667508625,4.218369007110596
0,0,30,4,2,32,0.0001,0.8,,0.0034170150756835938
0,0,30,4,2,32,0.0001,0.9,,0.00109100341796875
0,0,30,4,3,16,0.0001,0,4.080655562444056,1.6347830295562744
0,0,30,4,3,16,0.0001,0.5,0.04964266875894552,0.37137293815612793
0,0,30,4,3,16,0.0001,0.8,0.0,0.05558300018310547
0,0,30,4,3,16,0.0001,0.9,,0.005700111389160156
0,0,30,5,2,16,0.0001,0,4.0487877009856845,7.626903057098389
